ADCYAP1B,10,10,10,10,0,10,10,0,10
ADCYAP1R1,17,17,17,17,0,17,17,0,17
ADD1,21,21,21,21,0,21,21,0,21
ADD2,15,15,15,15,0,15,15,0,15
ADD3,27,27,27,27,0,27,27,0,27
ADGB,5,5,5,5,0,5,5,0,5
ADGF-D,2,2,2,2,0,2,2,0,2
ADGRA1,18,18,18,18,0,18,18,0,18
ADGRA2,11,11,11,11,0,11,11,0,11
ADGRA3,22,22,22,22,0,22,22,0,22
ADGRB1,16,16,16,16,0,16,16,0,16
ADGRB1B,1,1,1,1,0,1,1,0,1
ADGRB2,17,17,17,17,0,17,17,0,17
ADGRB3,21,21,21,21,0,21,21,0,21
ADGRD1,13,13,13,13,0,13,13,0,13
ADGRD2,11,11,11,11,0,11,11,0,11
ADGRE1,25,25,25,25,0,25,25,0,25
ADGRE2,13,13,13,13,0,13,13,0,13
ADGRE3,1,1,1,1,0,1,1,0,1
ADGRE4,10,10,10,10,0,10,10,0,10
ADGRE5,28,28,28,28,0,28,28,0,28
ADGRF1,13,13,13,13,0,13,13,0,13
ADGRF3,3,3,3,3,0,3,3,0,3
ADGRF4,10,10,10,10,0,10,10,0,10
ADGRF5,15,15,15,15,0,15,15,0,15
ADGRF6,1,1,1,1,0,1,1,0,1
ADGRG1,20,20,20,20,0,20,20,0,20
ADGRG2,24,24,24,24,0,24,24,0,24
ADGRG3,2,2,2,2,0,2,2,0,2
ADGRG4,2,2,2,2,0,2,2,0,2
ADGRG5,10,10,10,10,0,10,10,0,10
ADGRG6,24,24,24,24,0,24,24,0,24
ADGRG7,9,9,9,9,0,9,9,0,9
ADGRL1,26,26,26,26,0,26,26,0,26
ADGRL2,26,26,26,26,0,26,26,0,26
ADGRL3,15,15,15,15,0,15,15,0,15
ADGRL4,17,17,17,17,0,17,17,0,17
ADGRV1,27,27,27,27,0,27,27,0,27
ADH,9,9,9,9,0,9,9,0,9
ADH1,15,15,15,15,0,15,15,0,15
ADH1A,20,20,20,20,0,20,20,0,20
ADH1B,21,21,21,21,0,21,21,0,21
ADH1C,15,15,15,15,0,15,15,0,15
ADH4,23,23,23,23,0,23,23,0,23
ADH5,15,15,15,15,0,15,15,0,15
ADH5P4,3,3,3,3,0,3,3,0,3
ADH6,16,16,16,16,0,16,16,0,16
ADH6-PS1,6,6,6,6,0,6,6,0,6
ADH7,12,12,12,12,0,12,12,0,12
ADH8A,1,1,1,1,0,1,1,0,1
ADH8B,13,13,13,13,0,13,13,0,13
ADHFE1,22,22,22,22,0,22,22,0,22
ADI1,24,24,24,24,0,24,24,0,24
ADIG,12,12,12,12,0,12,12,0,12
ADIPOQ,44,44,44,44,0,44,44,0,44
ADIPOR1,18,18,18,18,0,18,18,0,18
ADIPOR1A,1,1,1,1,0,1,1,0,1
ADIPOR2,23,23,23,23,0,23,23,0,23
ADIRF,17,17,17,17,0,17,17,0,17
ADK,26,26,26,26,0,26,26,0,26
ADK1,5,5,5,5,0,5,5,0,5
ADK2,7,7,7,7,0,7,7,0,7
ADKA,1,1,1,1,0,1,1,0,1
ADKB,1,1,1,1,0,1,1,0,1
ADM,44,44,44,44,0,44,44,0,44
ADM2,14,14,14,14,0,14,14,0,14
ADM2A,1,1,1,1,0,1,1,0,1
ADM5,20,20,20,20,0,20,20,0,20
ADMB,1,1,1,1,0,1,1,0,1
ADNP,22,22,22,22,0,22,22,0,22
ADNP2,14,14,14,14,0,14,14,0,14
ADNPB,1,1,1,1,0,1,1,0,1
ADO,11,11,11,11,0,11,11,0,11
ADOB,3,3,3,3,0,3,3,0,3
ADORA1,38,38,38,38,0,38,38,0,38
ADORA2A,50,50,50,50,0,50,50,0,50
ADORA2A-AS1,1,1,1,1,0,1,1,0,1
ADORA2B,31,31,31,31,0,31,31,0,31
ADORA3,17,17,17,17,0,17,17,0,17
ADPGK,25,25,25,25,0,25,25,0,25
ADPGK-AS1,1,1,1,1,0,1,1,0,1
ADPRH,15,15,15,15,0,15,15,0,15
ADPRHL1,12,12,12,12,0,12,12,0,12
ADPRHL2,17,17,17,17,0,17,17,0,17
ADPRM,15,15,15,15,0,15,15,0,15
ADPRS,9,9,9,9,0,9,9,0,9
ADRA1A,25,25,25,25,0,25,25,0,25
ADRA1B,30,30,30,30,0,30,30,0,30
ADRA1D,22,22,22,22,0,22,22,0,22
ADRA2A,52,52,52,52,1,51,51,0,52
ADRA2B,19,19,19,19,0,19,19,0,19
ADRA2C,27,27,27,27,0,27,27,0,27
